"scenario","pve","K","true_coding","called_coding","count"
"Dominant only",0.3,1,"dominant","ambiguous",11
"Dominant only",0.3,1,"dominant","undetected",261
"Recessive only",0.3,1,"additive","additive",0
"Recessive only",0.3,1,"additive","recessive",0
"Recessive only",0.3,1,"additive","dominant",0
"Recessive only",0.3,1,"additive","ambiguous",0
"Recessive only",0.3,1,"additive","undetected",0
"Recessive only",0.3,1,"recessive","additive",0
"Recessive only",0.3,1,"recessive","recessive",122
"Recessive only",0.3,1,"recessive","dominant",0
"Recessive only",0.3,1,"recessive","ambiguous",0
"Recessive only",0.3,1,"recessive","undetected",278
"Recessive only",0.3,1,"dominant","additive",0
"Recessive only",0.3,1,"dominant","recessive",0
"Recessive only",0.3,1,"dominant","dominant",0
"Recessive only",0.3,1,"dominant","ambiguous",0
"Recessive only",0.3,1,"dominant","undetected",0
"Additive only",0.4,1,"additive","additive",137
"Additive only",0.4,1,"additive","recessive",0
"Additive only",0.4,1,"additive","dominant",3
"Additive only",0.4,1,"additive","ambiguous",12
"Additive only",0.4,1,"additive","undetected",248
"Additive only",0.4,1,"recessive","additive",0
"Additive only",0.4,1,"recessive","recessive",0
"Additive only",0.4,1,"recessive","dominant",0
"Additive only",0.4,1,"recessive","ambiguous",0
"Additive only",0.4,1,"recessive","undetected",0
"Additive only",0.4,1,"dominant","additive",0
"Additive only",0.4,1,"dominant","recessive",0
"Additive only",0.4,1,"dominant","dominant",0
"Additive only",0.4,1,"dominant","ambiguous",0
"Additive only",0.4,1,"dominant","undetected",0
"Dominant only",0.4,1,"additive","additive",0
"Dominant only",0.4,1,"additive","recessive",0
"Dominant only",0.4,1,"additive","dominant",0
"Dominant only",0.4,1,"additive","ambiguous",0
"Dominant only",0.4,1,"additive","undetected",0
"Dominant only",0.4,1,"recessive","additive",0
"Dominant only",0.4,1,"recessive","recessive",0
"Dominant only",0.4,1,"recessive","dominant",0
"Dominant only",0.4,1,"recessive","ambiguous",0
"Dominant only",0.4,1,"recessive","undetected",0
"Dominant only",0.4,1,"dominant","additive",2
"Dominant only",0.4,1,"dominant","recessive",0
"Dominant only",0.4,1,"dominant","dominant",143
"Dominant only",0.4,1,"dominant","ambiguous",12
"Dominant only",0.4,1,"dominant","undetected",243
"Recessive only",0.4,1,"additive","additive",0
"Recessive only",0.4,1,"additive","recessive",0
"Recessive only",0.4,1,"additive","dominant",0
"Recessive only",0.4,1,"additive","ambiguous",0
"Recessive only",0.4,1,"additive","undetected",0
"Recessive only",0.4,1,"recessive","additive",0
"Recessive only",0.4,1,"recessive","recessive",141
"Recessive only",0.4,1,"recessive","dominant",0
"Recessive only",0.4,1,"recessive","ambiguous",0
"Recessive only",0.4,1,"recessive","undetected",259
"Recessive only",0.4,1,"dominant","additive",0
"Recessive only",0.4,1,"dominant","recessive",0
"Recessive only",0.4,1,"dominant","dominant",0
"Recessive only",0.4,1,"dominant","ambiguous",0
"Recessive only",0.4,1,"dominant","undetected",0
"Additive + Dominant",0.1,2,"additive","additive",18
"Additive + Dominant",0.1,2,"additive","recessive",1
"Additive + Dominant",0.1,2,"additive","dominant",6
"Additive + Dominant",0.1,2,"additive","ambiguous",6
"Additive + Dominant",0.1,2,"additive","undetected",368
"Additive + Dominant",0.1,2,"recessive","additive",0
"Additive + Dominant",0.1,2,"recessive","recessive",0
"Additive + Dominant",0.1,2,"recessive","dominant",0
"Additive + Dominant",0.1,2,"recessive","ambiguous",0
"Additive + Dominant",0.1,2,"recessive","undetected",0
"Additive + Dominant",0.1,2,"dominant","additive",3
"Additive + Dominant",0.1,2,"dominant","recessive",0
"Additive + Dominant",0.1,2,"dominant","dominant",23
"Additive + Dominant",0.1,2,"dominant","ambiguous",3
"Additive + Dominant",0.1,2,"dominant","undetected",370
"Additive + Recessive",0.1,2,"additive","additive",16
"Additive + Recessive",0.1,2,"additive","recessive",0
"Additive + Recessive",0.1,2,"additive","dominant",1
"Additive + Recessive",0.1,2,"additive","ambiguous",0
"Additive + Recessive",0.1,2,"additive","undetected",383
"Additive + Recessive",0.1,2,"recessive","additive",0
"Additive + Recessive",0.1,2,"recessive","recessive",33
"Additive + Recessive",0.1,2,"recessive","dominant",0
"Additive + Recessive",0.1,2,"recessive","ambiguous",0
"Additive + Recessive",0.1,2,"recessive","undetected",367
"Additive + Recessive",0.1,2,"dominant","additive",0
"Additive + Recessive",0.1,2,"dominant","recessive",0
"Additive + Recessive",0.1,2,"dominant","dominant",0
"Additive + Recessive",0.1,2,"dominant","ambiguous",0
"Additive + Recessive",0.1,2,"dominant","undetected",0
"Additive only",0.1,2,"additive","additive",36
"Additive only",0.1,2,"additive","recessive",0
"Additive only",0.1,2,"additive","dominant",14
"Additive only",0.1,2,"additive","ambiguous",9
"Additive only",0.1,2,"additive","undetected",739
"Additive only",0.1,2,"recessive","additive",0
"Additive only",0.1,2,"recessive","recessive",0
"Additive only",0.1,2,"recessive","dominant",0
"Additive only",0.1,2,"recessive","ambiguous",0
"Additive only",0.1,2,"recessive","undetected",0
"Additive only",0.1,2,"dominant","additive",0
"Additive only",0.1,2,"dominant","recessive",0
"Additive only",0.1,2,"dominant","dominant",0
"Additive only",0.1,2,"dominant","ambiguous",0
"Additive only",0.1,2,"dominant","undetected",0
"Dominant only",0.1,2,"additive","additive",0
"Dominant only",0.1,2,"additive","recessive",0
"Dominant only",0.1,2,"additive","dominant",0
"Dominant only",0.1,2,"additive","ambiguous",0
"Dominant only",0.1,2,"additive","undetected",0
"Dominant only",0.1,2,"recessive","additive",0
"Dominant only",0.1,2,"recessive","recessive",0
"Dominant only",0.1,2,"recessive","dominant",0
"Dominant only",0.1,2,"recessive","ambiguous",0
"Dominant only",0.1,2,"recessive","undetected",0
"Dominant only",0.1,2,"dominant","additive",7
"Dominant only",0.1,2,"dominant","recessive",0
"Dominant only",0.1,2,"dominant","dominant",42
"Dominant only",0.1,2,"dominant","ambiguous",9
"Dominant only",0.1,2,"dominant","undetected",740
"Recessive + Dominant",0.1,2,"additive","additive",0
"Recessive + Dominant",0.1,2,"additive","recessive",0
"Recessive + Dominant",0.1,2,"additive","dominant",0
"Recessive + Dominant",0.1,2,"additive","ambiguous",0
"Recessive + Dominant",0.1,2,"additive","undetected",0
"Recessive + Dominant",0.1,2,"recessive","additive",0
"Recessive + Dominant",0.1,2,"recessive","recessive",28
"Recessive + Dominant",0.1,2,"recessive","dominant",0
"Recessive + Dominant",0.1,2,"recessive","ambiguous",0
"Recessive + Dominant",0.1,2,"recessive","undetected",372
"Recessive + Dominant",0.1,2,"dominant","additive",2
"Recessive + Dominant",0.1,2,"dominant","recessive",0
"Recessive + Dominant",0.1,2,"dominant","dominant",20
"Recessive + Dominant",0.1,2,"dominant","ambiguous",0
"Recessive + Dominant",0.1,2,"dominant","undetected",378
"Recessive only",0.1,2,"additive","additive",0
"Recessive only",0.1,2,"additive","recessive",0
"Recessive only",0.1,2,"additive","dominant",0
"Recessive only",0.1,2,"additive","ambiguous",0
"Recessive only",0.1,2,"additive","undetected",0
"Recessive only",0.1,2,"recessive","additive",0
"Recessive only",0.1,2,"recessive","recessive",57
"Recessive only",0.1,2,"recessive","dominant",0
"Recessive only",0.1,2,"recessive","ambiguous",0
"Recessive only",0.1,2,"recessive","undetected",743
"Recessive only",0.1,2,"dominant","additive",0
"Recessive only",0.1,2,"dominant","recessive",0
"Recessive only",0.1,2,"dominant","dominant",0
"Recessive only",0.1,2,"dominant","ambiguous",0
"Recessive only",0.1,2,"dominant","undetected",0
"Additive + Dominant",0.2,2,"additive","additive",56
"Additive + Dominant",0.2,2,"additive","recessive",0
"Additive + Dominant",0.2,2,"additive","dominant",3
"Additive + Dominant",0.2,2,"additive","ambiguous",9
"Additive + Dominant",0.2,2,"additive","undetected",331
"Additive + Dominant",0.2,2,"recessive","additive",0
"Additive + Dominant",0.2,2,"recessive","recessive",0
"Additive + Dominant",0.2,2,"recessive","dominant",0
"Additive + Dominant",0.2,2,"recessive","ambiguous",0
"Additive + Dominant",0.2,2,"recessive","undetected",0
"Additive + Dominant",0.2,2,"dominant","additive",6
"Additive + Dominant",0.2,2,"dominant","recessive",0
"Additive + Dominant",0.2,2,"dominant","dominant",63
"Additive + Dominant",0.2,2,"dominant","ambiguous",6
"Additive + Dominant",0.2,2,"dominant","undetected",324
"Additive + Recessive",0.2,2,"additive","additive",52
"Additive + Recessive",0.2,2,"additive","recessive",0
"Additive + Recessive",0.2,2,"additive","dominant",5
"Additive + Recessive",0.2,2,"additive","ambiguous",0
"Additive + Recessive",0.2,2,"additive","undetected",343
"Additive + Recessive",0.2,2,"recessive","additive",0
"Additive + Recessive",0.2,2,"recessive","recessive",86
"Additive + Recessive",0.2,2,"recessive","dominant",0
"Additive + Recessive",0.2,2,"recessive","ambiguous",0
"Additive + Recessive",0.2,2,"recessive","undetected",314
"Additive + Recessive",0.2,2,"dominant","additive",0
"Additive + Recessive",0.2,2,"dominant","recessive",0
"Additive + Recessive",0.2,2,"dominant","dominant",0
"Additive + Recessive",0.2,2,"dominant","ambiguous",0
"Additive + Recessive",0.2,2,"dominant","undetected",0
"Additive only",0.2,2,"additive","additive",118
"Additive only",0.2,2,"additive","recessive",0
"Additive only",0.2,2,"additive","dominant",5
"Additive only",0.2,2,"additive","ambiguous",15
"Additive only",0.2,2,"additive","undetected",660
"Additive only",0.2,2,"recessive","additive",0
"Additive only",0.2,2,"recessive","recessive",0
"Additive only",0.2,2,"recessive","dominant",0
"Additive only",0.2,2,"recessive","ambiguous",0
"Additive only",0.2,2,"recessive","undetected",0
"Additive only",0.2,2,"dominant","additive",0
"Additive only",0.2,2,"dominant","recessive",0
"Additive only",0.2,2,"dominant","dominant",0
"Additive only",0.2,2,"dominant","ambiguous",0
"Additive only",0.2,2,"dominant","undetected",0
"Dominant only",0.2,2,"additive","additive",0
"Dominant only",0.2,2,"additive","recessive",0
"Dominant only",0.2,2,"additive","dominant",0
"Dominant only",0.2,2,"additive","ambiguous",0
"Dominant only",0.2,2,"additive","undetected",0
"Dominant only",0.2,2,"recessive","additive",0
"Dominant only",0.2,2,"recessive","recessive",0
"Dominant only",0.2,2,"recessive","dominant",0
"Dominant only",0.2,2,"recessive","ambiguous",0
"Dominant only",0.2,2,"recessive","undetected",0
"Dominant only",0.2,2,"dominant","additive",13
"Dominant only",0.2,2,"dominant","recessive",0
"Dominant only",0.2,2,"dominant","dominant",123
"Dominant only",0.2,2,"dominant","ambiguous",15
"Dominant only",0.2,2,"dominant","undetected",647
"Recessive + Dominant",0.2,2,"additive","additive",0
"Recessive + Dominant",0.2,2,"additive","recessive",0
"Recessive + Dominant",0.2,2,"additive","dominant",0
"Recessive + Dominant",0.2,2,"additive","ambiguous",0
"Recessive + Dominant",0.2,2,"additive","undetected",0
"Recessive + Dominant",0.2,2,"recessive","additive",0
"Recessive + Dominant",0.2,2,"recessive","recessive",72
"Recessive + Dominant",0.2,2,"recessive","dominant",0
"Recessive + Dominant",0.2,2,"recessive","ambiguous",0
"Recessive + Dominant",0.2,2,"recessive","undetected",328
"Recessive + Dominant",0.2,2,"dominant","additive",4
"Recessive + Dominant",0.2,2,"dominant","recessive",0
"Recessive + Dominant",0.2,2,"dominant","dominant",76
"Recessive + Dominant",0.2,2,"dominant","ambiguous",0
"Recessive + Dominant",0.2,2,"dominant","undetected",320
"Recessive only",0.2,2,"additive","additive",0
"Recessive only",0.2,2,"additive","recessive",0
"Recessive only",0.2,2,"additive","dominant",0
"Recessive only",0.2,2,"additive","ambiguous",0
"Recessive only",0.2,2,"additive","undetected",0
"Recessive only",0.2,2,"recessive","additive",0
"Recessive only",0.2,2,"recessive","recessive",158
"Recessive only",0.2,2,"recessive","dominant",0
"Recessive only",0.2,2,"recessive","ambiguous",0
"Recessive only",0.2,2,"recessive","undetected",642
"Recessive only",0.2,2,"dominant","additive",0
"Recessive only",0.2,2,"dominant","recessive",0
"Recessive only",0.2,2,"dominant","dominant",0
"Recessive only",0.2,2,"dominant","ambiguous",0
"Recessive only",0.2,2,"dominant","undetected",0
"Additive + Dominant",0.3,2,"additive","additive",85
"Additive + Dominant",0.3,2,"additive","recessive",0
"Additive + Dominant",0.3,2,"additive","dominant",2
"Additive + Dominant",0.3,2,"additive","ambiguous",10
"Additive + Dominant",0.3,2,"additive","undetected",302
"Additive + Dominant",0.3,2,"recessive","additive",0
"Additive + Dominant",0.3,2,"recessive","recessive",0
"Additive + Dominant",0.3,2,"recessive","dominant",0
"Additive + Dominant",0.3,2,"recessive","ambiguous",0
"Additive + Dominant",0.3,2,"recessive","undetected",0
"Additive + Dominant",0.3,2,"dominant","additive",3
"Additive + Dominant",0.3,2,"dominant","recessive",0
"Additive + Dominant",0.3,2,"dominant","dominant",95
"Additive + Dominant",0.3,2,"dominant","ambiguous",8
"Additive + Dominant",0.3,2,"dominant","undetected",293
"Additive + Recessive",0.3,2,"additive","additive",82
"Additive + Recessive",0.3,2,"additive","recessive",1
"Additive + Recessive",0.3,2,"additive","dominant",2
"Additive + Recessive",0.3,2,"additive","ambiguous",0
"Additive + Recessive",0.3,2,"additive","undetected",315
"Additive + Recessive",0.3,2,"recessive","additive",0
"Additive + Recessive",0.3,2,"recessive","recessive",112
"Additive + Recessive",0.3,2,"recessive","dominant",0
"Additive + Recessive",0.3,2,"recessive","ambiguous",0
"Additive + Recessive",0.3,2,"recessive","undetected",288
"Additive + Recessive",0.3,2,"dominant","additive",0
"Additive + Recessive",0.3,2,"dominant","recessive",0
"Additive + Recessive",0.3,2,"dominant","dominant",0
"Additive + Recessive",0.3,2,"dominant","ambiguous",0
"Additive + Recessive",0.3,2,"dominant","undetected",0
"Additive only",0.3,2,"additive","additive",176
"Additive only",0.3,2,"additive","recessive",0
"Additive only",0.3,2,"additive","dominant",4
"Additive only",0.3,2,"additive","ambiguous",18
"Additive only",0.3,2,"additive","undetected",600
"Additive only",0.3,2,"recessive","additive",0
"Additive only",0.3,2,"recessive","recessive",0
"Additive only",0.3,2,"recessive","dominant",0
"Additive only",0.3,2,"recessive","ambiguous",0
"Additive only",0.3,2,"recessive","undetected",0
"Additive only",0.3,2,"dominant","additive",0
"Additive only",0.3,2,"dominant","recessive",0
"Additive only",0.3,2,"dominant","dominant",0
"Additive only",0.3,2,"dominant","ambiguous",0
"Additive only",0.3,2,"dominant","undetected",0
"Dominant only",0.3,2,"additive","additive",0
"Dominant only",0.3,2,"additive","recessive",0
"Dominant only",0.3,2,"additive","dominant",0
"Dominant only",0.3,2,"additive","ambiguous",0
"Dominant only",0.3,2,"additive","undetected",0
"Dominant only",0.3,2,"recessive","additive",0
"Dominant only",0.3,2,"recessive","recessive",0
"Dominant only",0.3,2,"recessive","dominant",0
"Dominant only",0.3,2,"recessive","ambiguous",0
"Dominant only",0.3,2,"recessive","undetected",0
"Dominant only",0.3,2,"dominant","additive",10
"Dominant only",0.3,2,"dominant","recessive",0
"Dominant only",0.3,2,"dominant","dominant",180
"Dominant only",0.3,2,"dominant","ambiguous",18
"Dominant only",0.3,2,"dominant","undetected",590
"Recessive + Dominant",0.3,2,"additive","additive",0
"Recessive + Dominant",0.3,2,"additive","recessive",0
"Recessive + Dominant",0.3,2,"additive","dominant",0
"Recessive + Dominant",0.3,2,"additive","ambiguous",0
"Recessive + Dominant",0.3,2,"additive","undetected",0
"Recessive + Dominant",0.3,2,"recessive","additive",0
"Recessive + Dominant",0.3,2,"recessive","recessive",99
"Recessive + Dominant",0.3,2,"recessive","dominant",0
"Recessive + Dominant",0.3,2,"recessive","ambiguous",0
"Recessive + Dominant",0.3,2,"recessive","undetected",301
"Recessive + Dominant",0.3,2,"dominant","additive",1
"Recessive + Dominant",0.3,2,"dominant","recessive",0
"Recessive + Dominant",0.3,2,"dominant","dominant",104
"Recessive + Dominant",0.3,2,"dominant","ambiguous",0
"Recessive + Dominant",0.3,2,"dominant","undetected",295
"Recessive only",0.3,2,"additive","additive",0
"Recessive only",0.3,2,"additive","recessive",0
"Recessive only",0.3,2,"additive","dominant",0
"Recessive only",0.3,2,"additive","ambiguous",0
"Recessive only",0.3,2,"additive","undetected",0
"Recessive only",0.3,2,"recessive","additive",0
"Recessive only",0.3,2,"recessive","recessive",210
"Recessive only",0.3,2,"recessive","dominant",0
"Recessive only",0.3,2,"recessive","ambiguous",0
"Recessive only",0.3,2,"recessive","undetected",590
"Recessive only",0.3,2,"dominant","additive",0
"Recessive only",0.3,2,"dominant","recessive",0
"Recessive only",0.3,2,"dominant","dominant",0
"Recessive only",0.3,2,"dominant","ambiguous",0
"Recessive only",0.3,2,"dominant","undetected",0
"Additive + Dominant",0.4,2,"additive","additive",102
"Additive + Dominant",0.4,2,"additive","recessive",0
"Additive + Dominant",0.4,2,"additive","dominant",1
"Additive + Dominant",0.4,2,"additive","ambiguous",11
"Additive + Dominant",0.4,2,"additive","undetected",285
"Additive + Dominant",0.4,2,"recessive","additive",0
"Additive + Dominant",0.4,2,"recessive","recessive",0
"Additive + Dominant",0.4,2,"recessive","dominant",0
"Additive + Dominant",0.4,2,"recessive","ambiguous",0
"Additive + Dominant",0.4,2,"recessive","undetected",0
"Additive + Dominant",0.4,2,"dominant","additive",2
"Additive + Dominant",0.4,2,"dominant","recessive",0
"Additive + Dominant",0.4,2,"dominant","dominant",121
"Additive + Dominant",0.4,2,"dominant","ambiguous",9
"Additive + Dominant",0.4,2,"dominant","undetected",267
"Additive + Recessive",0.4,2,"additive","additive",96
"Additive + Recessive",0.4,2,"additive","recessive",1
"Additive + Recessive",0.4,2,"additive","dominant",3
"Additive + Recessive",0.4,2,"additive","ambiguous",0
"Additive + Recessive",0.4,2,"additive","undetected",300
"Additive + Recessive",0.4,2,"recessive","additive",0
"Additive + Recessive",0.4,2,"recessive","recessive",133
"Additive + Recessive",0.4,2,"recessive","dominant",0
"Additive + Recessive",0.4,2,"recessive","ambiguous",0
"Additive + Recessive",0.4,2,"recessive","undetected",267
"Additive + Recessive",0.4,2,"dominant","additive",0
"Additive + Recessive",0.4,2,"dominant","recessive",0
"Additive + Recessive",0.4,2,"dominant","dominant",0
"Additive + Recessive",0.4,2,"dominant","ambiguous",0
"Additive + Recessive",0.4,2,"dominant","undetected",0
"Additive only",0.4,2,"additive","additive",219
"Additive only",0.4,2,"additive","recessive",0
"Additive only",0.4,2,"additive","dominant",1
"Additive only",0.4,2,"additive","ambiguous",20
"Additive only",0.4,2,"additive","undetected",558
"Additive only",0.4,2,"recessive","additive",0
"Additive only",0.4,2,"recessive","recessive",0
"Additive only",0.4,2,"recessive","dominant",0
"Additive only",0.4,2,"recessive","ambiguous",0
"Additive only",0.4,2,"recessive","undetected",0
"Additive only",0.4,2,"dominant","additive",0
"Additive only",0.4,2,"dominant","recessive",0
"Additive only",0.4,2,"dominant","dominant",0
"Additive only",0.4,2,"dominant","ambiguous",0
"Additive only",0.4,2,"dominant","undetected",0
"Dominant only",0.4,2,"additive","additive",0
"Dominant only",0.4,2,"additive","recessive",0
"Dominant only",0.4,2,"additive","dominant",0
"Dominant only",0.4,2,"additive","ambiguous",0
"Dominant only",0.4,2,"additive","undetected",0
"Dominant only",0.4,2,"recessive","additive",0
"Dominant only",0.4,2,"recessive","recessive",0
"Dominant only",0.4,2,"recessive","dominant",0
"Dominant only",0.4,2,"recessive","ambiguous",0
"Dominant only",0.4,2,"recessive","undetected",0
"Dominant only",0.4,2,"dominant","additive",8
"Dominant only",0.4,2,"dominant","recessive",0
"Dominant only",0.4,2,"dominant","dominant",228
"Dominant only",0.4,2,"dominant","ambiguous",20
"Dominant only",0.4,2,"dominant","undetected",542
"Recessive + Dominant",0.4,2,"additive","additive",0
"Recessive + Dominant",0.4,2,"additive","recessive",0
"Recessive + Dominant",0.4,2,"additive","dominant",0
"Recessive + Dominant",0.4,2,"additive","ambiguous",0
"Recessive + Dominant",0.4,2,"additive","undetected",0
"Recessive + Dominant",0.4,2,"recessive","additive",0
"Recessive + Dominant",0.4,2,"recessive","recessive",114
"Recessive + Dominant",0.4,2,"recessive","dominant",0
"Recessive + Dominant",0.4,2,"recessive","ambiguous",0
"Recessive + Dominant",0.4,2,"recessive","undetected",286
"Recessive + Dominant",0.4,2,"dominant","additive",1
"Recessive + Dominant",0.4,2,"dominant","recessive",0
"Recessive + Dominant",0.4,2,"dominant","dominant",127
"Recessive + Dominant",0.4,2,"dominant","ambiguous",0
"Recessive + Dominant",0.4,2,"dominant","undetected",272
"Recessive only",0.4,2,"additive","additive",0
"Recessive only",0.4,2,"additive","recessive",0
"Recessive only",0.4,2,"additive","dominant",0
"Recessive only",0.4,2,"additive","ambiguous",0
"Recessive only",0.4,2,"additive","undetected",0
"Recessive only",0.4,2,"recessive","additive",0
"Recessive only",0.4,2,"recessive","recessive",247
"Recessive only",0.4,2,"recessive","dominant",0
"Recessive only",0.4,2,"recessive","ambiguous",0
"Recessive only",0.4,2,"recessive","undetected",553
"Recessive only",0.4,2,"dominant","additive",0
"Recessive only",0.4,2,"dominant","recessive",0
"Recessive only",0.4,2,"dominant","dominant",0
"Recessive only",0.4,2,"dominant","ambiguous",0
"Recessive only",0.4,2,"dominant","undetected",0
"Additive + Dominant",0.1,3,"additive","additive",12
"Additive + Dominant",0.1,3,"additive","recessive",0
"Additive + Dominant",0.1,3,"additive","dominant",12
"Additive + Dominant",0.1,3,"additive","ambiguous",4
"Additive + Dominant",0.1,3,"additive","undetected",1172
"Additive + Dominant",0.1,3,"recessive","additive",0
"Additive + Dominant",0.1,3,"recessive","recessive",0
"Additive + Dominant",0.1,3,"recessive","dominant",0
"Additive + Dominant",0.1,3,"recessive","ambiguous",0
"Additive + Dominant",0.1,3,"recessive","undetected",0
"Additive + Dominant",0.1,3,"dominant","additive",6
"Additive + Dominant",0.1,3,"dominant","recessive",0
"Additive + Dominant",0.1,3,"dominant","dominant",18
"Additive + Dominant",0.1,3,"dominant","ambiguous",4
"Additive + Dominant",0.1,3,"dominant","undetected",1172
"Additive + Recessive",0.1,3,"additive","additive",17
"Additive + Recessive",0.1,3,"additive","recessive",0
"Additive + Recessive",0.1,3,"additive","dominant",2
"Additive + Recessive",0.1,3,"additive","ambiguous",0
"Additive + Recessive",0.1,3,"additive","undetected",1181
"Additive + Recessive",0.1,3,"recessive","additive",1
