"gene","status","n_tissue_errors"
"DEFB104A","finished",0
"DEFB104B","finished",0
"DEFB105A","finished",0
"DEFB105B","finished",0
"DEFB106A","finished",0
"DEFB106B","finished",0
"DEFB107A","finished",0
"DEFB107B","finished",0
"DEFB108B","finished",0
"DEFB110","finished",0
"DEFB112","finished",0
"DEFB113","finished",0
"DEFB114","finished",0
"DEFB115","finished",0
"DEFB116","finished",0
"DEFB118","finished",0
"DEFB119","finished",0
"DEFB121","finished",0
"DEFB123","finished",0
"DEFB124","finished",0
"DEFB125","finished",0
"DEFB126","finished",0
"DEFB127","finished",0
"DEFB128","finished",0
"DEFB129","finished",0
"DEFB132","finished",0
"DEFB133","finished",0
"DEFB134","finished",0
"DEFB135","finished",0
"DEFB136","finished",0
"DEFB4A","finished",0
"DEFB4B","finished",0
"DEGS1","finished",0
"DEGS2","finished",0
"DEK","finished",0
"DENND1A","finished",0
"DENND1B","finished",0
"DENND1C","finished",0
"DENND2A","finished",0
"DENND2C","finished",0
"DENND2D","finished",0
"DENND3","finished",0
"DENND4A","finished",0
"DENND4B","finished",0
"DENND4C","finished",0
"DENND5A","finished",0
"DENND5B","finished",0
"DENND6A","finished",0
"DENND6B","finished",0
"DENR","finished",0
"DEPDC1","finished",0
"DEPDC1B","finished",0
"DEPDC4","finished",0
"DEPDC5","finished",0
"DEPDC7","finished",0
"DEPTOR","finished",0
"DERA","finished",0
"DERL1","finished",0
"DERL2","finished",0
"DERL3","finished",0
"DES","finished",0
"DESI1","finished",0
"DESI2","finished",0
"DET1","finished",0
"DEUP1","finished",0
"DEXI","finished",0
"DFFA","finished",0
"DFFB","finished",0
"DGAT1","finished",0
"DGAT2","finished",0
"DGAT2L6","gene_error",0
"DGCR2","finished",0
"DGCR6","finished",0
"DGCR6L","finished",0
"DGCR8","finished",0
"DGKA","finished",0
"DGKB","finished",0
"DGKD","finished",0
"DGKE","finished",0
"DGKG","finished",0
"DGKH","finished",0
"DGKI","finished",0
"DGKK","gene_error",0
"DGKQ","finished",0
"DGKZ","finished",0
"DGUOK","finished",0
"DHCR24","finished",0
"DHCR7","finished",0
"DHDDS","finished",0
"DHDH","finished",0
"DHFR","finished",0
"DHFR2","finished",0
"DHH","finished",0
"DHODH","finished",0
"DHPS","finished",0
"DHRS1","finished",0
"DHRS11","finished",0
"DHRS12","finished",0
"DHRS13","finished",0
"DHRS2","finished",0
