"gene","status","n_tissue_errors"
"DCP1A","finished",0
"DCP1B","finished",0
"DCP2","finished",0
"DCPS","finished",0
"DCST1","finished",0
"DCST2","finished",0
"DCSTAMP","finished",0
"DCT","finished",0
"DCTD","finished",0
"DCTN1","finished",0
"DCTN2","finished",0
"DCTN3","finished",0
"DCTN4","finished",0
"DCTN5","finished",0
"DCTN6","finished",0
"DCTPP1","finished",0
"DCUN1D1","finished",0
"DCUN1D2","finished",0
"DCUN1D3","finished",0
"DCUN1D4","finished",0
"DCUN1D5","finished",0
"DCX","gene_error",0
"DCXR","finished",0
"DDA1","finished",0
"DDAH1","finished",0
"DDAH2","finished",0
"DDB1","finished",0
"DDB2","finished",0
"DDC","finished",0
"DDHD1","finished",0
"DDHD2","finished",0
"DDI1","finished",0
"DDI2","finished",0
"DDIAS","finished",0
"DDIT3","finished",0
"DDIT4","finished",0
"DDIT4L","finished",0
"DDN","finished",0
"DDO","finished",0
"DDOST","finished",0
"DDR1","finished",0
"DDR2","finished",0
"DDRGK1","finished",0
"DDT","finished",0
"DDTL","finished",0
"DDX1","finished",0
"DDX10","finished",0
"DDX11","finished",0
"DDX17","finished",0
"DDX18","finished",0
"DDX19A","finished",0
"DDX19B","finished",0
"DDX20","finished",0
"DDX21","finished",0
"DDX23","finished",0
"DDX24","finished",0
"DDX25","finished",0
"DDX27","finished",0
"DDX28","finished",0
"DDX31","finished",0
"DDX39A","finished",0
"DDX39B","finished",0
"DDX3X","gene_error",0
"DDX3Y","gene_error",0
"DDX4","finished",0
"DDX41","finished",0
"DDX42","finished",0
"DDX43","finished",0
"DDX46","finished",0
"DDX47","finished",0
"DDX49","finished",0
"DDX5","finished",0
"DDX50","finished",0
"DDX51","finished",0
"DDX52","finished",0
"DDX53","gene_error",0
"DDX54","finished",0
"DDX55","finished",0
"DDX56","finished",0
"DDX58","finished",0
"DDX59","finished",0
"DDX6","finished",0
"DDX60","finished",0
"DDX60L","finished",0
"DEAF1","finished",0
"DECR1","finished",0
"DECR2","finished",0
"DEDD","finished",0
"DEDD2","finished",0
"DEF6","finished",0
"DEF8","finished",0
"DEFA1","finished",0
"DEFA1B","finished",0
"DEFA3","finished",0
"DEFA4","finished",0
"DEFA5","finished",0
"DEFA6","finished",0
"DEFB1","finished",0
"DEFB103A","finished",0
"DEFB103B","finished",0
