"gene","status","n_tissue_errors"
"IRGQ","finished",0
"IRS1","finished",0
"IRS2","finished",0
"IRS4","gene_error",0
"IRX1","finished",0
"IRX2","finished",0
"IRX3","finished",0
"IRX4","finished",0
"IRX5","finished",0
"IRX6","finished",0
"ISCA1","finished",0
"ISCA2","finished",0
"ISCU","finished",0
"ISG15","finished",0
"ISG20","finished",0
"ISG20L2","finished",0
"ISL1","finished",0
"ISL2","finished",0
"ISLR","finished",0
"ISLR2","finished",0
"ISM1","finished",0
"ISM2","finished",0
"ISOC1","finished",0
"ISOC2","finished",0
"IST1","finished",0
"ISX","finished",0
"ISY1","finished",0
"ISYNA1","finished",0
"ITCH","finished",0
"ITFG1","finished",0
"ITFG2","finished",0
"ITGA1","finished",0
"ITGA10","finished",0
"ITGA11","finished",0
"ITGA2","finished",0
"ITGA2B","finished",0
"ITGA3","finished",0
"ITGA4","finished",0
"ITGA5","finished",0
"ITGA6","finished",0
"ITGA7","finished",0
"ITGA8","finished",0
"ITGA9","finished",0
"ITGAD","finished",0
"ITGAE","finished",0
"ITGAL","finished",0
"ITGAM","finished",0
"ITGAV","finished",0
"ITGAX","finished",0
"ITGB1","finished",0
"ITGB1BP1","finished",0
"ITGB1BP2","gene_error",0
"ITGB2","finished",0
"ITGB3","finished",0
"ITGB3BP","finished",0
"ITGB4","finished",0
"ITGB5","finished",0
"ITGB6","finished",0
"ITGB7","finished",0
"ITGB8","finished",0
"ITGBL1","finished",0
"ITIH1","finished",0
"ITIH2","finished",0
"ITIH3","finished",0
"ITIH4","finished",0
"ITIH5","finished",0
"ITIH6","gene_error",0
"ITK","finished",0
"ITLN1","finished",0
"ITLN2","finished",0
"ITM2A","gene_error",0
"ITM2B","finished",0
"ITM2C","finished",0
"ITPA","finished",0
"ITPK1","finished",0
"ITPKA","finished",0
"ITPKB","finished",0
"ITPKC","finished",0
"ITPR1","finished",0
"ITPR2","finished",0
"ITPR3","finished",0
"ITPRIP","finished",0
"ITPRIPL1","finished",0
"ITPRIPL2","finished",0
"ITSN1","finished",0
"ITSN2","finished",0
"IVD","finished",0
"IVL","finished",0
"IVNS1ABP","finished",0
"IWS1","finished",0
"IYD","finished",0
"IZUMO1","finished",0
"IZUMO1R","finished",0
"IZUMO2","finished",0
"IZUMO3","finished",0
"IZUMO4","finished",0
"JADE1","finished",0
"JADE2","finished",0
"JADE3","gene_error",0
"JAG1","finished",0
