"gene","status","n_tissue_errors"
"SCRN2","finished",0
"SCRN3","finished",0
"SCRT1","finished",0
"SCRT2","finished",0
"SCT","finished",0
"SCTR","finished",0
"SCUBE1","finished",0
"SCUBE2","finished",0
"SCUBE3","finished",0
"SCX","finished",0
"SCYL1","finished",0
"SCYL2","finished",0
"SCYL3","finished",0
"SDAD1","finished",0
"SDC1","finished",0
"SDC2","finished",0
"SDC3","finished",0
"SDC4","finished",0
"SDCBP","finished",0
"SDCBP2","finished",0
"SDCCAG8","finished",0
"SDE2","finished",0
"SDF2","finished",0
"SDF2L1","finished",0
"SDF4","finished",0
"SDHA","finished",0
"SDHAF1","finished",0
"SDHAF2","finished",0
"SDHAF3","finished",0
"SDHAF4","finished",0
"SDHB","finished",0
"SDHC","finished",0
"SDHD","finished",0
"SDK1","finished",0
"SDK2","finished",0
"SDR16C5","finished",0
"SDR39U1","finished",0
"SDR42E1","finished",0
"SDR42E2","finished",0
"SDR9C7","finished",0
"SDS","finished",0
"SDSL","finished",0
"SEBOX","finished",0
"SEC11A","finished",0
"SEC11C","finished",0
"SEC13","finished",0
"SEC14L1","finished",0
"SEC14L2","finished",0
"SEC14L3","finished",0
"SEC14L4","finished",0
"SEC14L5","finished",0
"SEC14L6","finished",0
"SEC16A","finished",0
"SEC16B","finished",0
"SEC22A","finished",0
"SEC22B","finished",0
"SEC22C","finished",0
"SEC23A","finished",0
"SEC23B","finished",0
"SEC23IP","finished",0
"SEC24A","finished",0
"SEC24B","finished",0
"SEC24C","finished",0
"SEC24D","finished",0
"SEC31A","finished",0
"SEC31B","finished",0
"SEC61A1","finished",0
"SEC61A2","finished",0
"SEC61B","finished",0
"SEC61G","finished",0
"SEC62","finished",0
"SEC63","finished",0
"SECISBP2","finished",0
"SECISBP2L","finished",0
"SECTM1","finished",0
"SEH1L","finished",0
"SEL1L","finished",0
"SEL1L2","finished",0
"SEL1L3","finished",0
"SELE","finished",0
"SELENBP1","finished",0
"SELENOF","finished",0
"SELENOH","finished",0
"SELENOI","finished",0
"SELENOK","finished",0
"SELENOM","finished",0
"SELENON","finished",0
"SELENOO","finished",0
"SELENOP","finished",0
"SELENOS","finished",0
"SELENOT","finished",0
"SELENOV","finished",0
"SELENOW","finished",0
"SELL","finished",0
"SELP","finished",0
"SELPLG","finished",0
"SEM1","finished",0
"SEMA3A","finished",0
"SEMA3B","finished",0
"SEMA3C","finished",0
