"gene","status","n_tissue_errors"
"R3HDM4","finished",0
"R3HDML","finished",0
"RAB10","finished",0
"RAB11A","finished",0
"RAB11B","finished",0
"RAB11FIP1","finished",0
"RAB11FIP2","finished",0
"RAB11FIP3","finished",0
"RAB11FIP4","finished",0
"RAB11FIP5","finished",0
"RAB12","finished",0
"RAB13","finished",0
"RAB14","finished",0
"RAB15","finished",0
"RAB17","finished",0
"RAB18","finished",0
"RAB19","finished",0
"RAB1A","finished",0
"RAB1B","finished",0
"RAB20","finished",0
"RAB21","finished",0
"RAB22A","finished",0
"RAB23","finished",0
"RAB24","finished",0
"RAB25","finished",0
"RAB26","finished",0
"RAB27A","finished",0
"RAB27B","finished",0
"RAB28","finished",0
"RAB29","finished",0
"RAB2A","finished",0
"RAB2B","finished",0
"RAB30","finished",0
"RAB31","finished",0
"RAB32","finished",0
"RAB33A","gene_error",0
"RAB33B","finished",0
"RAB34","finished",0
"RAB35","finished",0
"RAB36","finished",0
"RAB37","finished",0
"RAB38","finished",0
"RAB39A","finished",0
"RAB39B","gene_error",0
"RAB3A","finished",0
"RAB3B","finished",0
"RAB3C","finished",0
"RAB3D","finished",0
"RAB3GAP1","finished",0
"RAB3GAP2","finished",0
"RAB3IL1","finished",0
"RAB3IP","finished",0
"RAB40A","gene_error",0
"RAB40AL","gene_error",0
"RAB40B","finished",0
"RAB40C","finished",0
"RAB41","gene_error",0
"RAB42","finished",0
"RAB43","finished",0
"RAB44","finished",0
"RAB4A","finished",0
"RAB4B","finished",0
"RAB5A","finished",0
"RAB5B","finished",0
"RAB5C","finished",0
"RAB6A","finished",0
"RAB6B","finished",0
"RAB6C","finished",0
"RAB7A","finished",0
"RAB7B","finished",0
"RAB8A","finished",0
"RAB8B","finished",0
"RAB9A","gene_error",0
"RAB9B","gene_error",0
"RABAC1","finished",0
"RABEP1","finished",0
"RABEP2","finished",0
"RABEPK","finished",0
"RABGAP1","finished",0
"RABGAP1L","finished",0
"RABGEF1","finished",0
"RABGGTA","finished",0
"RABGGTB","finished",0
"RABIF","finished",0
"RABL2A","finished",0
"RABL2B","finished",0
"RABL3","finished",0
"RABL6","finished",0
"RAC1","finished",0
"RAC2","finished",0
"RAC3","finished",0
"RACGAP1","finished",0
"RACK1","finished",0
"RAD1","finished",0
"RAD17","finished",0
"RAD18","finished",0
"RAD21","finished",0
"RAD21L1","finished",0
"RAD23A","finished",0
"RAD23B","finished",0
