"gene","status","n_tissue_errors"
"SETX","finished",0
"SEZ6","finished",0
"SEZ6L","finished",0
"SEZ6L2","finished",0
"SF1","finished",0
"SF3A1","finished",0
"SF3A2","finished",0
"SF3A3","finished",0
"SF3B1","finished",0
"SF3B2","finished",0
"SF3B3","finished",0
"SF3B4","finished",0
"SF3B5","finished",0
"SF3B6","finished",0
"SFI1","finished",0
"SFMBT1","finished",0
"SFMBT2","finished",0
"SFN","finished",0
"SFPQ","finished",0
"SFR1","finished",0
"SFRP1","finished",0
"SFRP2","finished",0
"SFRP4","finished",0
"SFRP5","finished",0
"SFSWAP","finished",0
"SFT2D1","finished",0
"SFT2D2","finished",0
"SFTA2","finished",0
"SFTA3","finished",0
"SFTPA1","finished",0
"SFTPA2","finished",0
"SFTPB","finished",0
"SFTPC","finished",0
"SFTPD","finished",0
"SFXN1","finished",0
"SFXN2","finished",0
"SFXN3","finished",0
"SFXN4","finished",0
"SFXN5","finished",0
"SGCA","finished",0
"SGCB","finished",0
"SGCD","finished",0
"SGCE","finished",0
"SGCG","finished",0
"SGCZ","finished",0
"SGF29","finished",0
"SGIP1","finished",0
"SGK1","finished",0
"SGK2","finished",0
"SGK3","finished",0
"SGMS1","finished",0
"SGMS2","finished",0
"SGO1","finished",0
"SGO2","finished",0
"SGPL1","finished",0
"SGPP1","finished",0
"SGPP2","finished",0
"SGSH","finished",0
"SGSM1","finished",0
"SGSM2","finished",0
"SGSM3","finished",0
"SGTA","finished",0
"SGTB","finished",0
"SH2B1","finished",0
"SH2B2","finished",0
"SH2B3","finished",0
"SH2D1A","gene_error",0
"SH2D1B","finished",0
"SH2D2A","finished",0
"SH2D3A","finished",0
"SH2D3C","finished",0
"SH2D4A","finished",0
"SH2D4B","finished",0
"SH2D5","finished",0
"SH2D6","finished",0
"SH2D7","finished",0
"SH3BGR","finished",0
"SH3BGRL","gene_error",0
"SH3BGRL2","finished",0
"SH3BGRL3","finished",0
"SH3BP1","finished",0
"SH3BP2","finished",0
"SH3BP4","finished",0
"SH3BP5","finished",0
"SH3BP5L","finished",0
"SH3D19","finished",0
"SH3D21","finished",0
"SH3GL1","finished",0
"SH3GL2","finished",0
"SH3GL3","finished",0
"SH3GLB1","finished",0
"SH3GLB2","finished",0
"SH3KBP1","gene_error",0
"SH3PXD2A","finished",0
"SH3PXD2B","finished",0
"SH3RF1","finished",0
"SH3RF2","finished",0
"SH3RF3","finished",0
"SH3TC1","finished",0
"SH3TC2","finished",0
