"gene","status","n_tissue_errors"
"KRTAP9-7","finished",0
"KRTAP9-8","finished",0
"KRTAP9-9","finished",0
"KRTCAP2","finished",0
"KRTCAP3","finished",0
"KRTDAP","finished",0
"KSR1","finished",0
"KSR2","finished",0
"KTI12","finished",0
"KTN1","finished",0
"KXD1","finished",0
"KY","finished",0
"KYAT1","finished",0
"KYAT3","finished",0
"KYNU","finished",0
"L1CAM","gene_error",0
"L1TD1","finished",0
"L2HGDH","finished",0
"L3HYPDH","finished",0
"L3MBTL1","finished",0
"L3MBTL2","finished",0
"L3MBTL3","finished",0
"L3MBTL4","finished",0
"LACC1","finished",0
"LACRT","finished",0
"LACTB","finished",0
"LACTB2","finished",0
"LACTBL1","finished",0
"LAD1","finished",0
"LAG3","finished",0
"LAGE3","gene_error",0
"LAIR1","finished",0
"LAIR2","finished",0
"LALBA","finished",0
"LAMA1","finished",0
"LAMA2","finished",0
"LAMA3","finished",0
"LAMA4","finished",0
"LAMA5","finished",0
"LAMB1","finished",0
"LAMB2","finished",0
"LAMB3","finished",0
"LAMB4","finished",0
"LAMC1","finished",0
"LAMC2","finished",0
"LAMC3","finished",0
"LAMP1","finished",0
"LAMP2","gene_error",0
"LAMP3","finished",0
"LAMP5","finished",0
"LAMTOR1","finished",0
"LAMTOR2","finished",0
"LAMTOR3","finished",0
"LAMTOR4","finished",0
"LAMTOR5","finished",0
"LANCL1","finished",0
"LANCL2","finished",0
"LANCL3","gene_error",0
"LAP3","finished",0
"LAPTM4A","finished",0
"LAPTM4B","finished",0
"LAPTM5","finished",0
"LARGE1","finished",0
"LARGE2","finished",0
"LARP1","finished",0
"LARP1B","finished",0
"LARP4","finished",0
"LARP4B","finished",0
"LARP6","finished",0
"LARP7","finished",0
"LARS2","finished",0
"LAS1L","gene_error",0
"LASP1","finished",0
"LAT","finished",0
"LAT2","finished",0
"LATS1","finished",0
"LATS2","finished",0
"LAX1","finished",0
"LAYN","finished",0
"LBH","finished",0
"LBHD1","finished",0
"LBP","finished",0
"LBR","finished",0
"LBX1","finished",0
"LBX2","finished",0
"LCA5","finished",0
"LCA5L","finished",0
"LCAT","finished",0
"LCE1A","finished",0
"LCE1B","finished",0
"LCE1C","finished",0
"LCE1D","finished",0
"LCE1E","finished",0
"LCE1F","finished",0
"LCE2A","finished",0
"LCE2B","finished",0
"LCE2C","finished",0
"LCE2D","finished",0
"LCE3A","finished",0
"LCE3B","finished",0
