"gene","status","n_tissue_errors"
"CRYGN","finished",0
"CRYGS","finished",0
"CRYL1","finished",0
"CRYM","finished",0
"CRYZ","finished",0
"CRYZL1","finished",0
"CS","finished",0
"CSAD","finished",0
"CSAG1","gene_error",0
"CSAG2","gene_error",0
"CSAG3","gene_error",0
"CSDC2","finished",0
"CSDE1","finished",0
"CSE1L","finished",0
"CSF1","finished",0
"CSF1R","finished",0
"CSF2","finished",0
"CSF2RA","gene_error",0
"CSF2RB","finished",0
"CSF3","finished",0
"CSF3R","finished",0
"CSGALNACT1","finished",0
"CSGALNACT2","finished",0
"CSH1","finished",0
"CSH2","finished",0
"CSHL1","finished",0
"CSK","finished",0
"CSMD1","finished",0
"CSMD2","finished",0
"CSMD3","finished",0
"CSN1S1","finished",0
"CSN2","finished",0
"CSN3","finished",0
"CSNK1A1","finished",0
"CSNK1A1L","finished",0
"CSNK1D","finished",0
"CSNK1E","finished",0
"CSNK1G1","finished",0
"CSNK1G2","finished",0
"CSNK1G3","finished",0
"CSNK2A1","finished",0
"CSNK2A2","finished",0
"CSNK2A3","finished",0
"CSNK2B","finished",0
"CSPG4","finished",0
"CSPG5","finished",0
"CSPP1","finished",0
"CSRNP1","finished",0
"CSRNP2","finished",0
"CSRNP3","finished",0
"CSRP1","finished",0
"CSRP2","finished",0
"CSRP3","finished",0
"CST1","finished",0
"CST11","finished",0
"CST2","finished",0
"CST3","finished",0
"CST4","finished",0
"CST5","finished",0
"CST6","finished",0
"CST7","finished",0
"CST8","finished",0
"CST9","finished",0
"CST9L","finished",0
"CSTA","finished",0
"CSTB","finished",0
"CSTF1","finished",0
"CSTF2","gene_error",0
"CSTF2T","finished",0
"CSTF3","finished",0
"CSTL1","finished",0
"CT45A1","gene_error",0
"CT45A10","gene_error",0
"CT45A2","gene_error",0
"CT45A3","gene_error",0
"CT45A5","gene_error",0
"CT45A6","gene_error",0
"CT45A7","gene_error",0
"CT45A8","gene_error",0
"CT45A9","gene_error",0
"CT47A1","gene_error",0
"CT47A10","gene_error",0
"CT47A11","gene_error",0
"CT47A12","gene_error",0
"CT47A2","gene_error",0
"CT47A3","gene_error",0
"CT47A4","gene_error",0
"CT47A5","gene_error",0
"CT47A6","gene_error",0
"CT47A7","gene_error",0
"CT47A8","gene_error",0
"CT47A9","gene_error",0
"CT47B1","gene_error",0
"CT55","gene_error",0
"CT83","gene_error",0
"CTAG1A","gene_error",0
"CTAG1B","gene_error",0
"CTAG2","gene_error",0
"CTAGE1","finished",0
"CTAGE15","finished",0
