"gene","status","n_tissue_errors"
"EPB41L5","finished",0
"EPB42","finished",0
"EPC1","finished",0
"EPC2","finished",0
"EPCAM","finished",0
"EPDR1","finished",0
"EPG5","finished",0
"EPGN","finished",0
"EPHA1","finished",0
"EPHA10","finished",0
"EPHA2","finished",0
"EPHA3","finished",0
"EPHA4","finished",0
"EPHA5","finished",0
"EPHA6","finished",0
"EPHA7","finished",0
"EPHA8","finished",0
"EPHB1","finished",0
"EPHB2","finished",0
"EPHB3","finished",0
"EPHB4","finished",0
"EPHB6","finished",0
"EPHX1","finished",0
"EPHX2","finished",0
"EPHX3","finished",0
"EPHX4","finished",0
"EPM2A","finished",0
"EPM2AIP1","finished",0
"EPN1","finished",0
"EPN2","finished",0
"EPN3","finished",0
"EPO","finished",0
"EPOP","finished",0
"EPOR","finished",0
"EPPIN","finished",0
"EPPK1","finished",0
"EPS15","finished",0
"EPS15L1","finished",0
"EPS8","finished",0
"EPS8L1","finished",0
"EPS8L2","finished",0
"EPS8L3","finished",0
"EPSTI1","finished",0
"EPX","finished",0
"EPYC","finished",0
"EQTN","finished",0
"ERAL1","finished",0
"ERAP1","finished",0
"ERAP2","finished",0
"ERAS","gene_error",0
"ERBB2","finished",0
"ERBB3","finished",0
"ERBB4","finished",0
"ERBIN","finished",0
"ERC1","finished",0
"ERC2","finished",0
"ERCC1","finished",0
"ERCC2","finished",0
"ERCC3","finished",0
"ERCC4","finished",0
"ERCC5","finished",0
"ERCC6","finished",0
"ERCC6L","gene_error",0
"ERCC6L2","finished",0
"ERCC8","finished",0
"EREG","finished",0
"ERF","finished",0
"ERFE","finished",0
"ERG","finished",0
"ERGIC1","finished",0
"ERGIC2","finished",0
"ERGIC3","finished",0
"ERH","finished",0
"ERI1","finished",0
"ERI2","finished",0
"ERI3","finished",0
"ERICH1","finished",0
"ERICH2","finished",0
"ERICH3","finished",0
"ERICH4","finished",0
"ERICH5","finished",0
"ERICH6","finished",0
"ERICH6B","finished",0
"ERLEC1","finished",0
"ERLIN1","finished",0
"ERLIN2","finished",0
"ERMAP","finished",0
"ERMARD","finished",0
"ERMN","finished",0
"ERMP1","finished",0
"ERN1","finished",0
"ERN2","finished",0
"ERO1A","finished",0
"ERO1B","finished",0
"ERP27","finished",0
"ERP29","finished",0
"ERP44","finished",0
"ERRFI1","finished",0
"ERV3-1","finished",0
"ERVFRD-1","finished",0
