"gene","status","n_tissue_errors"
"MLXIP","finished",0
"MLXIPL","finished",0
"MLYCD","finished",0
"MMAA","finished",0
"MMAB","finished",0
"MMACHC","finished",0
"MMADHC","finished",0
"MMD","finished",0
"MMD2","finished",0
"MME","finished",0
"MMEL1","finished",0
"MMGT1","gene_error",0
"MMP1","finished",0
"MMP10","finished",0
"MMP11","finished",0
"MMP12","finished",0
"MMP13","finished",0
"MMP14","finished",0
"MMP15","finished",0
"MMP16","finished",0
"MMP17","finished",0
"MMP19","finished",0
"MMP2","finished",0
"MMP20","finished",0
"MMP21","finished",0
"MMP23B","finished",0
"MMP24","finished",0
"MMP25","finished",0
"MMP26","finished",0
"MMP27","finished",0
"MMP28","finished",0
"MMP3","finished",0
"MMP7","finished",0
"MMP8","finished",0
"MMP9","finished",0
"MMRN1","finished",0
"MMRN2","finished",0
"MMS19","finished",0
"MMS22L","finished",0
"MN1","finished",0
"MNAT1","finished",0
"MND1","finished",0
"MNDA","finished",0
"MNS1","finished",0
"MNT","finished",0
"MNX1","finished",0
"MOAP1","finished",0
"MOB1A","finished",0
"MOB1B","finished",0
"MOB2","finished",0
"MOB3A","finished",0
"MOB3B","finished",0
"MOB3C","finished",0
"MOB4","finished",0
"MOBP","finished",0
"MOCOS","finished",0
"MOCS1","finished",0
"MOCS2","finished",0
"MOCS3","finished",0
"MOG","finished",0
"MOGAT1","finished",0
"MOGAT2","finished",0
"MOGAT3","finished",0
"MOGS","finished",0
"MOK","finished",0
"MON1A","finished",0
"MON1B","finished",0
"MON2","finished",0
"MORC1","finished",0
"MORC2","finished",0
"MORC3","finished",0
"MORC4","gene_error",0
"MORF4L1","finished",0
"MORF4L2","gene_error",0
"MORN1","finished",0
"MORN2","finished",0
"MORN3","finished",0
"MORN4","finished",0
"MORN5","finished",0
"MOS","finished",0
"MOSPD1","gene_error",0
"MOSPD2","gene_error",0
"MOSPD3","finished",0
"MOV10","finished",0
"MOV10L1","finished",0
"MOXD1","finished",0
"MPC1","finished",0
"MPC1L","gene_error",0
"MPC2","finished",0
"MPDU1","finished",0
"MPDZ","finished",0
"MPEG1","finished",0
"MPG","finished",0
"MPHOSPH10","finished",0
"MPHOSPH6","finished",0
"MPHOSPH8","finished",0
"MPHOSPH9","finished",0
"MPI","finished",0
"MPIG6B","finished",0
"MPL","finished",0
