"gene","status","n_tissue_errors"
"CNTLN","finished",0
"CNTN1","finished",0
"CNTN2","finished",0
"CNTN3","finished",0
"CNTN4","finished",0
"CNTN5","finished",0
"CNTN6","finished",0
"CNTNAP1","finished",0
"CNTNAP2","finished",0
"CNTNAP3","finished",0
"CNTNAP3B","finished",0
"CNTNAP4","finished",0
"CNTNAP5","finished",0
"CNTRL","finished",0
"CNTROB","finished",0
"COA1","finished",0
"COA3","finished",0
"COA4","finished",0
"COA5","finished",0
"COA6","finished",0
"COA7","finished",0
"COASY","finished",0
"COBL","finished",0
"COBLL1","finished",0
"COCH","finished",0
"COG1","finished",0
"COG2","finished",0
"COG3","finished",0
"COG4","finished",0
"COG5","finished",0
"COG6","finished",0
"COG7","finished",0
"COG8","finished",0
"COIL","finished",0
"COL10A1","finished",0
"COL11A1","finished",0
"COL11A2","finished",0
"COL12A1","finished",0
"COL13A1","finished",0
"COL14A1","finished",0
"COL15A1","finished",0
"COL16A1","finished",0
"COL17A1","finished",0
"COL18A1","finished",0
"COL19A1","finished",0
"COL1A1","finished",0
"COL1A2","finished",0
"COL20A1","finished",0
"COL21A1","finished",0
"COL22A1","finished",0
"COL23A1","finished",0
"COL24A1","finished",0
"COL25A1","finished",0
"COL26A1","finished",0
"COL27A1","finished",0
"COL28A1","finished",0
"COL2A1","finished",0
"COL3A1","finished",0
"COL4A1","finished",0
"COL4A2","finished",0
"COL4A3","finished",0
"COL4A4","finished",0
"COL4A5","gene_error",0
"COL4A6","gene_error",0
"COL5A1","finished",0
"COL5A2","finished",0
"COL5A3","finished",0
"COL6A1","finished",0
"COL6A2","finished",0
"COL6A3","finished",0
"COL6A5","finished",0
"COL6A6","finished",0
"COL7A1","finished",0
"COL8A1","finished",0
"COL8A2","finished",0
"COL9A1","finished",0
"COL9A2","finished",0
"COL9A3","finished",0
"COLCA2","finished",0
"COLEC10","finished",0
"COLEC11","finished",0
"COLEC12","finished",0
"COLGALT1","finished",0
"COLGALT2","finished",0
"COLQ","finished",0
"COMMD1","finished",0
"COMMD10","finished",0
"COMMD2","finished",0
"COMMD3","finished",0
"COMMD4","finished",0
"COMMD5","finished",0
"COMMD6","finished",0
"COMMD7","finished",0
"COMMD8","finished",0
"COMMD9","finished",0
"COMP","finished",0
"COMT","finished",0
"COMTD1","finished",0
"COPA","finished",0
"COPB1","finished",0
