"gene","status","n_tissue_errors"
"CELA3B","finished",0
"CELF1","finished",0
"CELF2","finished",0
"CELF3","finished",0
"CELF4","finished",0
"CELF5","finished",0
"CELF6","finished",0
"CELSR1","finished",0
"CELSR2","finished",0
"CELSR3","finished",0
"CEMIP","finished",0
"CEND1","finished",0
"CENPA","finished",0
"CENPB","finished",0
"CENPC","finished",0
"CENPE","finished",0
"CENPF","finished",0
"CENPH","finished",0
"CENPI","gene_error",0
"CENPJ","finished",0
"CENPK","finished",0
"CENPL","finished",0
"CENPM","finished",0
"CENPN","finished",0
"CENPO","finished",0
"CENPP","finished",0
"CENPQ","finished",0
"CENPS","finished",0
"CENPT","finished",0
"CENPU","finished",0
"CENPV","finished",0
"CENPVL1","gene_error",0
"CENPVL2","gene_error",0
"CENPVL3","gene_error",0
"CENPW","finished",0
"CENPX","finished",0
"CEP104","finished",0
"CEP112","finished",0
"CEP120","finished",0
"CEP126","finished",0
"CEP128","finished",0
"CEP131","finished",0
"CEP135","finished",0
"CEP152","finished",0
"CEP162","finished",0
"CEP164","finished",0
"CEP170","finished",0
"CEP170B","finished",0
"CEP19","finished",0
"CEP192","finished",0
"CEP250","finished",0
"CEP290","finished",0
"CEP295","finished",0
"CEP295NL","finished",0
"CEP350","finished",0
"CEP41","finished",0
"CEP44","finished",0
"CEP55","finished",0
"CEP57","finished",0
"CEP57L1","finished",0
"CEP63","finished",0
"CEP68","finished",0
"CEP70","finished",0
"CEP72","finished",0
"CEP76","finished",0
"CEP78","finished",0
"CEP83","finished",0
"CEP85","finished",0
"CEP85L","finished",0
"CEP89","finished",0
"CEP95","finished",0
"CEP97","finished",0
"CEPT1","finished",0
"CER1","finished",0
"CERCAM","finished",0
"CERK","finished",0
"CERKL","finished",0
"CERS1","finished",0
"CERS2","finished",0
"CERS3","finished",0
"CERS4","finished",0
"CERS5","finished",0
"CERS6","finished",0
"CES1","finished",0
"CES2","finished",0
"CES3","finished",0
"CES4A","finished",0
"CES5A","finished",0
"CETN1","finished",0
"CETN2","gene_error",0
"CETN3","finished",0
"CETP","finished",0
"CFAP100","finished",0
"CFAP157","finished",0
"CFAP161","finished",0
"CFAP20","finished",0
"CFAP206","finished",0
"CFAP221","finished",0
"CFAP36","finished",0
"CFAP43","finished",0
