"gene","status","n_tissue_errors"
"MRPL55","finished",0
"MRPL57","finished",0
"MRPL58","finished",0
"MRPL9","finished",0
"MRPS10","finished",0
"MRPS11","finished",0
"MRPS12","finished",0
"MRPS14","finished",0
"MRPS15","finished",0
"MRPS16","finished",0
"MRPS17","finished",0
"MRPS18A","finished",0
"MRPS18B","finished",0
"MRPS18C","finished",0
"MRPS2","finished",0
"MRPS21","finished",0
"MRPS22","finished",0
"MRPS23","finished",0
"MRPS24","finished",0
"MRPS25","finished",0
"MRPS26","finished",0
"MRPS27","finished",0
"MRPS28","finished",0
"MRPS30","finished",0
"MRPS31","finished",0
"MRPS33","finished",0
"MRPS34","finished",0
"MRPS35","finished",0
"MRPS36","finished",0
"MRPS5","finished",0
"MRPS6","finished",0
"MRPS7","finished",0
"MRPS9","finished",0
"MRRF","finished",0
"MRS2","finished",0
"MRTO4","finished",0
"MS4A1","finished",0
"MS4A10","finished",0
"MS4A12","finished",0
"MS4A13","finished",0
"MS4A14","finished",0
"MS4A15","finished",0
"MS4A18","finished",0
"MS4A2","finished",0
"MS4A3","finished",0
"MS4A4A","finished",0
"MS4A4E","finished",0
"MS4A5","finished",0
"MS4A6A","finished",0
"MS4A6E","finished",0
"MS4A7","finished",0
"MS4A8","finished",0
"MSANTD1","finished",0
"MSANTD2","finished",0
"MSANTD3","finished",0
"MSANTD4","finished",0
"MSC","finished",0
"MSGN1","finished",0
"MSH2","finished",0
"MSH3","finished",0
"MSH4","finished",0
"MSH5","finished",0
"MSH6","finished",0
"MSI1","finished",0
"MSI2","finished",0
"MSL1","finished",0
"MSL2","finished",0
"MSL3","gene_error",0
"MSLN","finished",0
"MSLNL","finished",0
"MSMB","finished",0
"MSMO1","finished",0
"MSN","gene_error",0
"MSR1","finished",0
"MSRA","finished",0
"MSRB1","finished",0
"MSRB2","finished",0
"MSRB3","finished",0
"MSS51","finished",0
"MST1","finished",0
"MST1R","finished",0
"MSTN","finished",0
"MSTO1","finished",0
"MSX1","finished",0
"MSX2","finished",0
"MT-ATP6","gene_error",0
"MT-ATP8","gene_error",0
"MT-CO1","gene_error",0
"MT-CO2","gene_error",0
"MT-CO3","gene_error",0
"MT-CYB","gene_error",0
"MT-ND1","gene_error",0
"MT-ND2","gene_error",0
"MT-ND3","gene_error",0
"MT-ND4","gene_error",0
"MT-ND4L","gene_error",0
"MT-ND5","gene_error",0
"MT-ND6","gene_error",0
"MT1A","finished",0
"MT1B","finished",0
