"gene","status","n_tissue_errors"
"ZBTB11","finished",0
"ZBTB12","finished",0
"ZBTB14","finished",0
"ZBTB16","finished",0
"ZBTB17","finished",0
"ZBTB18","finished",0
"ZBTB2","finished",0
"ZBTB20","finished",0
"ZBTB21","finished",0
"ZBTB22","finished",0
"ZBTB24","finished",0
"ZBTB25","finished",0
"ZBTB26","finished",0
"ZBTB3","finished",0
"ZBTB32","finished",0
"ZBTB33","gene_error",0
"ZBTB34","finished",0
"ZBTB37","finished",0
"ZBTB38","finished",0
"ZBTB39","finished",0
"ZBTB4","finished",0
"ZBTB40","finished",0
"ZBTB41","finished",0
"ZBTB42","finished",0
"ZBTB43","finished",0
"ZBTB44","finished",0
"ZBTB45","finished",0
"ZBTB46","finished",0
"ZBTB47","finished",0
"ZBTB48","finished",0
"ZBTB49","finished",0
"ZBTB5","finished",0
"ZBTB6","finished",0
"ZBTB7A","finished",0
"ZBTB7B","finished",0
"ZBTB7C","finished",0
"ZBTB8A","finished",0
"ZBTB8B","finished",0
"ZBTB8OS","finished",0
"ZBTB9","finished",0
"ZC2HC1A","finished",0
"ZC2HC1B","finished",0
"ZC2HC1C","finished",0
"ZC3H10","finished",0
"ZC3H11A","finished",0
"ZC3H11B","finished",0
"ZC3H12A","finished",0
"ZC3H12B","gene_error",0
"ZC3H12C","finished",0
"ZC3H12D","finished",0
"ZC3H13","finished",0
"ZC3H14","finished",0
"ZC3H15","finished",0
"ZC3H18","finished",0
"ZC3H3","finished",0
"ZC3H4","finished",0
"ZC3H6","finished",0
"ZC3H7A","finished",0
"ZC3H7B","finished",0
"ZC3H8","finished",0
"ZC3HAV1","finished",0
"ZC3HAV1L","finished",0
"ZC3HC1","finished",0
"ZC4H2","gene_error",0
"ZCCHC10","finished",0
"ZCCHC12","gene_error",0
"ZCCHC13","gene_error",0
"ZCCHC14","finished",0
"ZCCHC17","finished",0
"ZCCHC18","gene_error",0
"ZCCHC2","finished",0
"ZCCHC24","finished",0
"ZCCHC3","finished",0
"ZCCHC4","finished",0
"ZCCHC7","finished",0
"ZCCHC8","finished",0
"ZCCHC9","finished",0
"ZCRB1","finished",0
"ZCWPW1","finished",0
"ZCWPW2","finished",0
"ZDBF2","finished",0
"ZDHHC1","finished",0
"ZDHHC11","finished",0
"ZDHHC11B","finished",0
"ZDHHC12","finished",0
"ZDHHC13","finished",0
"ZDHHC14","finished",0
"ZDHHC15","gene_error",0
"ZDHHC16","finished",0
"ZDHHC17","finished",0
"ZDHHC18","finished",0
"ZDHHC19","finished",0
"ZDHHC2","finished",0
"ZDHHC20","finished",0
"ZDHHC21","finished",0
"ZDHHC22","finished",0
"ZDHHC23","finished",0
"ZDHHC24","finished",0
"ZDHHC3","finished",0
"ZDHHC4","finished",0
