"gene","status","n_tissue_errors"
"PSMD1","finished",0
"PSMD10","gene_error",0
"PSMD11","finished",0
"PSMD12","finished",0
"PSMD13","finished",0
"PSMD14","finished",0
"PSMD2","finished",0
"PSMD3","finished",0
"PSMD4","finished",0
"PSMD5","finished",0
"PSMD6","finished",0
"PSMD7","finished",0
"PSMD8","finished",0
"PSMD9","finished",0
"PSME1","finished",0
"PSME2","finished",0
"PSME3","finished",0
"PSME4","finished",0
"PSMF1","finished",0
"PSMG1","finished",0
"PSMG2","finished",0
"PSMG3","finished",0
"PSMG4","finished",0
"PSORS1C1","finished",0
"PSORS1C2","finished",0
"PSPC1","finished",0
"PSPH","finished",0
"PSPN","finished",0
"PSRC1","finished",0
"PSTK","finished",0
"PSTPIP1","finished",0
"PSTPIP2","finished",0
"PTAFR","finished",0
"PTAR1","finished",0
"PTBP1","finished",0
"PTBP2","finished",0
"PTBP3","finished",0
"PTCD1","finished",0
"PTCD2","finished",0
"PTCD3","finished",0
"PTCH1","finished",0
"PTCH2","finished",0
"PTCHD1","gene_error",0
"PTCHD4","finished",0
"PTCRA","finished",0
"PTDSS1","finished",0
"PTDSS2","finished",0
"PTEN","finished",0
"PTER","finished",0
"PTF1A","finished",0
"PTGDR","finished",0
"PTGDR2","finished",0
"PTGDS","finished",0
"PTGER1","finished",0
"PTGER2","finished",0
"PTGER3","finished",0
"PTGER4","finished",0
"PTGES","finished",0
"PTGES2","finished",0
"PTGES3","finished",0
"PTGES3L","finished",0
"PTGFR","finished",0
"PTGFRN","finished",0
"PTGIR","finished",0
"PTGIS","finished",0
"PTGR1","finished",0
"PTGR2","finished",0
"PTGS1","finished",0
"PTGS2","finished",0
"PTH","finished",0
"PTH1R","finished",0
"PTH2","finished",0
"PTH2R","finished",0
"PTHLH","finished",0
"PTK2","finished",0
"PTK2B","finished",0
"PTK6","finished",0
"PTK7","finished",0
"PTMA","finished",0
"PTMS","finished",0
"PTN","finished",0
"PTOV1","finished",0
"PTP4A1","finished",0
"PTP4A2","finished",0
"PTP4A3","finished",0
"PTPA","finished",0
"PTPDC1","finished",0
"PTPMT1","finished",0
"PTPN1","finished",0
"PTPN11","finished",0
"PTPN12","finished",0
"PTPN13","finished",0
"PTPN14","finished",0
"PTPN18","finished",0
"PTPN2","finished",0
"PTPN20","finished",0
"PTPN21","finished",0
"PTPN22","finished",0
"PTPN23","finished",0
"PTPN3","finished",0
