"gene","status","n_tissue_errors"
"PFDN1","finished",0
"PFDN2","finished",0
"PFDN4","finished",0
"PFDN5","finished",0
"PFDN6","finished",0
"PFKFB1","gene_error",0
"PFKFB2","finished",0
"PFKFB3","finished",0
"PFKFB4","finished",0
"PFKL","finished",0
"PFKM","finished",0
"PFKP","finished",0
"PFN1","finished",0
"PFN2","finished",0
"PFN3","finished",0
"PFN4","finished",0
"PGA3","finished",0
"PGA4","finished",0
"PGA5","finished",0
"PGAM1","finished",0
"PGAM4","gene_error",0
"PGAM5","finished",0
"PGAP1","finished",0
"PGAP2","finished",0
"PGAP3","finished",0
"PGBD1","finished",0
"PGBD2","finished",0
"PGBD4","finished",0
"PGBD5","finished",0
"PGC","finished",0
"PGD","finished",0
"PGF","finished",0
"PGGHG","finished",0
"PGGT1B","finished",0
"PGK1","gene_error",0
"PGK2","finished",0
"PGLS","finished",0
"PGLYRP1","finished",0
"PGLYRP2","finished",0
"PGLYRP3","finished",0
"PGLYRP4","finished",0
"PGM1","finished",0
"PGM2","finished",0
"PGM2L1","finished",0
"PGM3","finished",0
"PGM5","finished",0
"PGP","finished",0
"PGPEP1","finished",0
"PGPEP1L","finished",0
"PGR","finished",0
"PGRMC1","gene_error",0
"PGRMC2","finished",0
"PGS1","finished",0
"PHACTR1","finished",0
"PHACTR2","finished",0
"PHACTR3","finished",0
"PHACTR4","finished",0
"PHAX","finished",0
"PHB","finished",0
"PHB2","finished",0
"PHC1","finished",0
"PHC2","finished",0
"PHC3","finished",0
"PHEX","gene_error",0
"PHF1","finished",0
"PHF10","finished",0
"PHF11","finished",0
"PHF12","finished",0
"PHF13","finished",0
"PHF14","finished",0
"PHF19","finished",0
"PHF2","finished",0
"PHF20","finished",0
"PHF20L1","finished",0
"PHF21A","finished",0
"PHF21B","finished",0
"PHF23","finished",0
"PHF24","finished",0
"PHF3","finished",0
"PHF5A","finished",0
"PHF6","gene_error",0
"PHF7","finished",0
"PHF8","gene_error",0
"PHGDH","finished",0
"PHGR1","finished",0
"PHIP","finished",0
"PHKA1","gene_error",0
"PHKA2","gene_error",0
"PHKB","finished",0
"PHKG1","finished",0
"PHKG2","finished",0
"PHLDA1","finished",0
"PHLDA2","finished",0
"PHLDA3","finished",0
"PHLDB1","finished",0
"PHLDB2","finished",0
"PHLDB3","finished",0
"PHLPP1","finished",0
"PHLPP2","finished",0
"PHOSPHO1","finished",0
