"gene","status","n_tissue_errors"
"TTC22","finished",0
"TTC23","finished",0
"TTC23L","finished",0
"TTC24","finished",0
"TTC25","finished",0
"TTC26","finished",0
"TTC27","finished",0
"TTC28","finished",0
"TTC29","finished",0
"TTC3","finished",0
"TTC30A","finished",0
"TTC30B","finished",0
"TTC31","finished",0
"TTC32","finished",0
"TTC33","finished",0
"TTC34","finished",0
"TTC36","finished",0
"TTC37","finished",0
"TTC38","finished",0
"TTC39A","finished",0
"TTC39B","finished",0
"TTC39C","finished",0
"TTC4","finished",0
"TTC5","finished",0
"TTC6","finished",0
"TTC7A","finished",0
"TTC7B","finished",0
"TTC8","finished",0
"TTC9","finished",0
"TTC9B","finished",0
"TTC9C","finished",0
"TTF1","finished",0
"TTF2","finished",0
"TTI1","finished",0
"TTI2","finished",0
"TTK","finished",0
"TTL","finished",0
"TTLL1","finished",0
"TTLL10","finished",0
"TTLL11","finished",0
"TTLL12","finished",0
"TTLL13P","finished",0
"TTLL2","finished",0
"TTLL3","finished",0
"TTLL4","finished",0
"TTLL5","finished",0
"TTLL6","finished",0
"TTLL7","finished",0
"TTLL8","finished",0
"TTLL9","finished",0
"TTN","finished",0
"TTPA","finished",0
"TTPAL","finished",0
"TTR","finished",0
"TTYH1","finished",0
"TTYH2","finished",0
"TTYH3","finished",0
"TUB","finished",0
"TUBA1A","finished",0
"TUBA1B","finished",0
"TUBA1C","finished",0
"TUBA3C","finished",0
"TUBA3D","finished",0
"TUBA3E","finished",0
"TUBA4A","finished",0
"TUBA4B","finished",0
"TUBA8","finished",0
"TUBAL3","finished",0
"TUBB","finished",0
"TUBB1","finished",0
"TUBB2A","finished",0
"TUBB2B","finished",0
"TUBB3","finished",0
"TUBB4A","finished",0
"TUBB4B","finished",0
"TUBB6","finished",0
"TUBB8","finished",0
"TUBD1","finished",0
"TUBE1","finished",0
"TUBG1","finished",0
"TUBG2","finished",0
"TUBGCP2","finished",0
"TUBGCP3","finished",0
"TUBGCP4","finished",0
"TUBGCP5","finished",0
"TUBGCP6","finished",0
"TUFM","finished",0
"TUFT1","finished",0
"TUG1","finished",0
"TULP1","finished",0
"TULP2","finished",0
"TULP3","finished",0
"TULP4","finished",0
"TUNAR","finished",0
"TUSC1","finished",0
"TUSC2","finished",0
"TUSC3","finished",0
"TUT1","finished",0
"TVP23A","finished",0
"TVP23B","finished",0
