"gene","status","n_tissue_errors"
"DOCK2","finished",0
"DOCK3","finished",0
"DOCK4","finished",0
"DOCK5","finished",0
"DOCK6","finished",0
"DOCK7","finished",0
"DOCK8","finished",0
"DOCK9","finished",0
"DOHH","finished",0
"DOK1","finished",0
"DOK2","finished",0
"DOK3","finished",0
"DOK4","finished",0
"DOK5","finished",0
"DOK6","finished",0
"DOK7","finished",0
"DOLK","finished",0
"DOLPP1","finished",0
"DONSON","finished",0
"DOT1L","finished",0
"DPAGT1","finished",0
"DPCD","finished",0
"DPEP1","finished",0
"DPEP2","finished",0
"DPEP3","finished",0
"DPF1","finished",0
"DPF2","finished",0
"DPF3","finished",0
"DPH1","finished",0
"DPH2","finished",0
"DPH3","finished",0
"DPH5","finished",0
"DPH6","finished",0
"DPH7","finished",0
"DPM1","finished",0
"DPM2","finished",0
"DPM3","finished",0
"DPP10","finished",0
"DPP3","finished",0
"DPP4","finished",0
"DPP6","finished",0
"DPP7","finished",0
"DPP8","finished",0
"DPP9","finished",0
"DPPA2","finished",0
"DPPA3","finished",0
"DPPA4","finished",0
"DPPA5","finished",0
"DPRX","finished",0
"DPT","finished",0
"DPY19L1","finished",0
"DPY19L2","finished",0
"DPY19L3","finished",0
"DPY19L4","finished",0
"DPY30","finished",0
"DPYD","finished",0
"DPYS","finished",0
"DPYSL2","finished",0
"DPYSL3","finished",0
"DPYSL4","finished",0
"DPYSL5","finished",0
"DQX1","finished",0
"DR1","finished",0
"DRAM1","finished",0
"DRAM2","finished",0
"DRAP1","finished",0
"DRAXIN","finished",0
"DRC1","finished",0
"DRC3","finished",0
"DRC7","finished",0
"DRD1","finished",0
"DRD2","finished",0
"DRD3","finished",0
"DRD4","finished",0
"DRD5","finished",0
"DRG1","finished",0
"DRG2","finished",0
"DRGX","finished",0
"DRICH1","finished",0
"DROSHA","finished",0
"DRP2","gene_error",0
"DSC1","finished",0
"DSC2","finished",0
"DSC3","finished",0
"DSCAM","finished",0
"DSCAML1","finished",0
"DSCC1","finished",0
"DSE","finished",0
"DSEL","finished",0
"DSG1","finished",0
"DSG2","finished",0
"DSG3","finished",0
"DSG4","finished",0
"DSN1","finished",0
"DSP","finished",0
"DSPP","finished",0
"DST","finished",0
"DSTN","finished",0
"DSTYK","finished",0
"DTD1","finished",0
