"gene","status","n_tissue_errors"
"AMD1","finished",0
"AMDHD1","finished",0
"AMDHD2","finished",0
"AMELX","gene_error",0
"AMELY","gene_error",0
"AMER1","gene_error",0
"AMER2","finished",0
"AMER3","finished",0
"AMFR","finished",0
"AMH","finished",0
"AMHR2","finished",0
"AMIGO1","finished",0
"AMIGO2","finished",0
"AMIGO3","finished",0
"AMMECR1","gene_error",0
"AMMECR1L","finished",0
"AMN","finished",0
"AMN1","finished",0
"AMOT","gene_error",0
"AMOTL1","finished",0
"AMOTL2","finished",0
"AMPD1","finished",0
"AMPD2","finished",0
"AMPD3","finished",0
"AMPH","finished",0
"AMT","finished",0
"AMTN","finished",0
"AMY1A","finished",0
"AMY1B","finished",0
"AMY1C","finished",0
"AMY2A","finished",0
"AMY2B","finished",0
"AMZ1","finished",0
"AMZ2","finished",0
"ANAPC1","finished",0
"ANAPC10","finished",0
"ANAPC11","finished",0
"ANAPC13","finished",0
"ANAPC15","finished",0
"ANAPC16","finished",0
"ANAPC2","finished",0
"ANAPC4","finished",0
"ANAPC5","finished",0
"ANAPC7","finished",0
"ANG","finished",0
"ANGEL1","finished",0
"ANGEL2","finished",0
"ANGPT1","finished",0
"ANGPT2","finished",0
"ANGPT4","finished",0
"ANGPTL1","finished",0
"ANGPTL2","finished",0
"ANGPTL3","finished",0
"ANGPTL4","finished",0
"ANGPTL5","finished",0
"ANGPTL6","finished",0
"ANGPTL7","finished",0
"ANGPTL8","finished",0
"ANHX","finished",0
"ANK1","finished",0
"ANK2","finished",0
"ANK3","finished",0
"ANKAR","finished",0
"ANKDD1A","finished",0
"ANKDD1B","finished",0
"ANKEF1","finished",0
"ANKFN1","finished",0
"ANKFY1","finished",0
"ANKH","finished",0
"ANKHD1","finished",0
"ANKIB1","finished",0
"ANKK1","finished",0
"ANKLE1","finished",0
"ANKLE2","finished",0
"ANKMY1","finished",0
"ANKMY2","finished",0
"ANKRA2","finished",0
"ANKRD1","finished",0
"ANKRD10","finished",0
"ANKRD11","finished",0
"ANKRD12","finished",0
"ANKRD13A","finished",0
"ANKRD13B","finished",0
"ANKRD13C","finished",0
"ANKRD13D","finished",0
"ANKRD16","finished",0
"ANKRD17","finished",0
"ANKRD18A","finished",0
"ANKRD18B","finished",0
"ANKRD2","finished",0
"ANKRD20A1","finished",0
"ANKRD22","finished",0
"ANKRD23","finished",0
"ANKRD24","finished",0
"ANKRD26","finished",0
"ANKRD27","finished",0
"ANKRD28","finished",0
"ANKRD29","finished",0
"ANKRD30A","finished",0
"ANKRD30B","finished",0
